Name,Pace,OffensiveRating,TrueShooting%,TotalRebound%,Steal%,Turnover%,OppTrueShooting%
EASTERN-KENTUCKY,69.8,113.3,.557,50.3,9.9,14.0,.588
EASTERN-MICHIGAN,68.4,102.4,.530,50.0,8.6,15.2,.535
EASTERN-WASHINGTON,69.1,112.2,.574,50.3,8.5,15.3,.584
ELON,68.1,113.0,.557,50.1,10.0,13.4,.563
EVANSVILLE,67.5,98.5,.532,46.7,7.7,17.0,.569
FAIRFIELD,67.6,109.6,.521,52.7,9.8,12.5,.540
FDU,64.5,103.8,.517,52.5,7.8,15.4,.565
FLORIDA,72.7,120.6,.572,59.3,9.2,13.2,.501
FLORIDA-AM,70.3,99.8,.532,49.9,11.1,18.5,.560
FLORIDA-ATLANTIC,70.5,111.3,.555,52.7,8.3,14.5,.534
FLORIDA-GULF-COAST,69.3,110.5,.546,52.0,11.0,13.4,.563
FLORIDA-INTERNATIONAL,72.8,109.5,.548,50.9,12.4,15.0,.546
FLORIDA-STATE,72.0,111.0,.549,48.6,10.8,13.3,.551
FORDHAM,65.7,106.2,.522,55.0,11.0,14.6,.519
FRESNO-STATE,69.6,105.1,.548,49.6,9.5,15.9,.540
FURMAN,66.7,113.4,.575,54.2,7.1,15.2,.523
GARDNER-WEBB,71.0,96.0,.517,43.8,8.9,17.1,.595
GEORGE-MASON,65.1,113.5,.576,53.0,7.7,14.2,.524
GEORGE-WASHINGTON,70.4,116.8,.581,54.1,10.8,15.2,.549
GEORGETOWN,67.5,109.2,.541,50.3,9.8,13.3,.541
GEORGIA,73.4,121.2,.587,50.4,11.1,12.1,.533
GEORGIA-SOUTHERN,71.3,112.3,.561,46.8,11.2,12.6,.561
GEORGIA-STATE,69.3,101.3,.508,47.5,9.9,13.6,.536
GEORGIA-TECH,71.6,102.6,.534,50.3,8.4,16.2,.535
GONZAGA,70.4,120.5,.585,55.4,12.1,11.7,.499
GRAMBLING,69.9,100.7,.536,49.8,11.5,18.2,.534
GRAND-CANYON,68.9,109.0,.559,53.8,9.6,15.4,.517
GREEN-BAY,65.2,114.0,.595,49.9,6.8,14.2,.566
HAMPTON,66.5,104.3,.512,51.0,9.7,14.1,.541
HARVARD,64.1,109.0,.570,50.0,11.3,15.0,.531
HAWAII,72.1,110.0,.570,54.1,9.1,16.0,.501
HIGH-POINT,71.8,124.5,.603,51.5,15.1,11.1,.527
HOFSTRA,65.6,114.4,.557,53.7,7.5,13.5,.492
HOLY-CROSS,66.1,103.3,.535,47.7,8.7,13.7,.566
HOUSTON,64.9,119.1,.555,52.2,12.0,10.6,.509
HOUSTON-CHRISTIAN,65.2,102.5,.532,48.8,10.2,16.5,.564
HOWARD,70.0,110.5,.563,53.5,12.2,16.5,.515
IDAHO,69.5,112.8,.567,52.9,8.3,13.3,.538
IDAHO-STATE,66.9,111.0,.560,53.1,7.8,14.3,.578
ILLINOIS,66.2,125.8,.589,56.9,5.7,11.1,.500
ILLINOIS-STATE,67.4,111.0,.567,52.5,8.5,14.6,.524
ILLINOIS-CHICAGO,67.2,110.7,.546,52.8,11.7,14.8,.537
INCARNATE-WORD,66.3,112.0,.552,51.3,8.1,14.2,.566
INDIANA,66.8,116.4,.599,50.0,6.9,13.4,.534
INDIANA-STATE,68.9,104.7,.557,49.4,8.8,17.2,.528
IONA,68.4,105.8,.546,48.8,9.5,15.1,.523
IOWA,63.5,118.3,.599,51.0,11.2,13.3,.564
IOWA-STATE,68.3,119.7,.584,53.4,13.2,12.9,.528
IU-INDY,76.1,109.3,.551,45.9,11.6,13.7,.613
JACKSON-STATE,71.1,98.5,.510,45.7,8.5,16.6,.575
JACKSONVILLE,66.0,109.8,.549,52.4,10.0,14.4,.565
JACKSONVILLE-STATE,66.7,108.2,.544,52.4,9.2,14.6,.522
JAMES-MADISON,67.0,110.5,.560,51.5,7.7,14.9,.532
KANSAS,68.3,111.0,.562,51.7,8.0,13.7,.482
KANSAS-CITY,71.9,96.1,.499,45.5,8.7,15.9,.577
KANSAS-STATE,73.8,107.8,.557,47.7,9.5,15.3,.558
KENNESAW-STATE,72.6,114.0,.556,53.6,9.5,13.7,.529
KENT-STATE,73.0,115.0,.579,53.8,9.2,15.5,.549
KENTUCKY,69.7,116.6,.569,53.0,10.2,13.0,.530
LA-SALLE,66.4,100.5,.502,50.6,10.1,15.5,.561
LAFAYETTE,67.2,102.9,.523,48.0,8.2,13.5,.561
LAMAR,66.3,105.0,.516,52.9,9.7,15.0,.536
LE-MOYNE,69.4,105.1,.564,49.8,8.4,16.9,.527
LEHIGH,67.2,105.3,.566,46.9,9.7,15.9,.538
LIBERTY,65.0,119.7,.632,46.6,9.6,12.5,.543
LINDENWOOD,73.7,105.5,.533,51.6,12.0,15.6,.508
